CODIGOACTA,Índice1,MOVILIDAD,MIEMBROS,DECOMISO,GENERO,OBRA SOCIAL,CREDITO,RIFLES,ESCOPETA,MACHETES,CUCHILLOS,OAD_FUEGO,RAMA,BENEFICIOS,MUNICIPIO,DEPARTAMENTO,EDAD,CLASES,Cluster
57,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,WANDA,IGUAZÚ,=>43 años,Caza como estrategia,3
5,2,LANCHA,3 MIEMBROS,SIN DECOMISO,MUJER,,,0,0,0,0,0,,,,,,Caza comb de lugareños,2
82,2,EMBARCACIONES S/MOTOR,3 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,,,,Caza como estrategia,2
82,3,EMBARCACIONES S/MOTOR,3 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,,,,Caza como estrategia,2
5,1,LANCHA,3 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,,,,Caza comb de lugareños,2
5,3,LANCHA,3 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,,,,Caza comb de lugareños,2
82,1,EMBARCACIONES S/MOTOR,3 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,COLONIA AURORA,25 DE MAYO,,Caza comb de lugareños,2
78,1,LANCHA,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,COLONIA AURORA,25 DE MAYO,,Caza comb de lugareños,2
78,2,LANCHA,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,COLONIA AURORA,25 DE MAYO,,Caza comb de lugareños,3
78,3,LANCHA,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,SAN VICENTE,GUARANÍ,,Caza comb de lugareños,3
76,3,,3 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,WANDA,IGUAZÚ,,Caza como estrategia,2
81,3,,3 MIEMBROS,CON DECOMISO,,,,0,0,0,0,0,,,CAPANEMA (BR),PARANÁ (BR),,Caza como estrategia,2
8,3,EMBARCACIONES S/MOTOR,3 MIEMBROS,SIN DECOMISO,,,,0,0,0,0,0,,,CORONEL BICACO (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros,2
8,2,EMBARCACIONES S/MOTOR,3 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,CORONEL BICACO (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros,2
8,1,EMBARCACIONES S/MOTOR,3 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,SANTA ROSA (BR),RIO GRANDE DO SUL (BR),,Caza comb de extranjeros,2
80,3,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,SAN VICENTE,GUARANÍ,-21 años,Caza como tactica,3
81,2,,3 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,CARAGUATAY,MONTECARLO,-21 años,Caza como estrategia,2
81,1,,3 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,SAN ANTONIO,GENERAL MANUEL BELGRANO,21-31 años,Caza como estrategia,1
80,2,,3 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,SAN VICENTE,GUARANÍ,21-31 años,Caza como tactica,2
80,1,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,,SAN VICENTE,GUARANÍ,21-31 años,Caza como tactica,2
76,1,,3 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,WANDA,IGUAZÚ,21-31 años,Caza como estrategia,1
66,3,EMBARCACIONES S/MOTOR,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,,,32-42 años,Caza como estrategia,2
66,4,EMBARCACIONES S/MOTOR,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,,,32-42 años,Caza como estrategia,2
66,2,EMBARCACIONES S/MOTOR,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,,,32-42 años,Caza como estrategia,2
66,1,EMBARCACIONES S/MOTOR,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,,,32-42 años,Caza como estrategia,3
73,3,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,32-42 años,Caza como estrategia,2
72,1,,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,PUERTO LIBERTAD,IGUAZÚ,32-42 años,Caza como estrategia,1
72,3,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,PUERTO LIBERTAD,IGUAZÚ,32-42 años,Caza como estrategia,1
73,2,,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Algún ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,=>43 años,Caza como estrategia,3
73,1,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,=>43 años,Caza como estrategia,1
72,2,,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,PUERTO LIBERTAD,IGUAZÚ,=>43 años,Caza como estrategia,3
76,2,,3 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,,Algún ProgSocial,WANDA,IGUAZÚ,=>43 años,Caza como estrategia,2
75,2,EMBARCACIONES S/MOTOR,4 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,PUERTO ESPERANZA,IGUAZÚ,,Caza como estrategia,2
75,3,EMBARCACIONES S/MOTOR,4 MIEMBROS,CON DECOMISO,VARÓN,,,0,0,0,0,0,,,PUERTO ESPERANZA,IGUAZÚ,,Caza como estrategia,2
69,4,,4 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,PUERTO IGUAZÚ,IGUAZÚ,,Caza como estrategia,1
71,2,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,,,0,0,0,0,0,,,WANDA,IGUAZÚ,,Caza como estrategia,2
75,1,EMBARCACIONES S/MOTOR,4 MIEMBROS,CON DECOMISO,VARÓN,CON OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como estrategia,1
70,3,,4 MIEMBROS,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,=>43 años,Caza como estrategia,1
71,3,EMBARCACIONES S/MOTOR,4 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,WANDA,IGUAZÚ,=>43 años,Caza como estrategia,1
