CODIGOACTA,Índice1,MOVILIDAD,MIEMBROS,DECOMISO,GENERO,OBRA SOCIAL,CREDITO,RIFLES,ESCOPETA,MACHETES,CUCHILLOS,OAD_FUEGO,RAMA,BENEFICIOS,MUNICIPIO,DEPARTAMENTO,EDAD,CLASES
65,1,,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,ELDORADO,ELDORADO,,Caza como estrategia
65,2,,3 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,1,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Algún ProgSocial,ELDORADO,ELDORADO,,Caza como estrategia
65,3,,3 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,1,0,0,0,COMERCIO/TRANSPORTE/SERVICIOS (GRAL),Sin ProgSocial,ELDORADO,ELDORADO,,Caza como estrategia
27,1,,1 MIEMBRO,CON DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,EL SOBERBIO,GUARANÍ,32-42 años,Caza como tactica
60,2,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,DOS DE MAYO,CAINGUÁS,21-31 años,Caza como tactica
61,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,,,PUERTO LIBERTAD,IGUAZÚ,21-31 años,Caza como tactica
61,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,CONSTRUCCION/MADERA,Algún ProgSocial,PUERTO LIBERTAD,IGUAZÚ,21-31 años,Caza como tactica
60,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Sin ProgSocial,WANDA,IGUAZÚ,32-42 años,Caza como tactica
44,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,CON OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,SAN PEDRO,SAN PEDRO,32-42 años,Caza como tactica
44,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,SAN PEDRO,SAN PEDRO,32-42 años,Caza como tactica
43,1,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,ACTIVIDADES RURALES,Algún ProgSocial,EL SOBERBIO,GUARANÍ,=>43 años,Caza como tactica
43,2,MOTOCICLETA,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,,0,2,0,0,0,ADM PUBLICA/SERV PROFESIONALES,Sin ProgSocial,EL SOBERBIO,GUARANÍ,=>43 años,Caza como tactica
56,1,,2 MIEMBROS,SIN DECOMISO,VARÓN,SIN OBRA SOCIAL,FUERA DE RIESGO,1,0,0,0,0,CONSTRUCCION/MADERA,Sin ProgSocial,GARUPA,CAPITAL,21-31 años,Caza como tactica
